Threat Category,IOCs (Indicators of Compromise),Threat Actor,Attack Vector,Geographical Location,Sentiment in Forums,Severity Score,Predicted Threat Category,Suggested Defense Mechanism,Risk Level Prediction,Cleaned Threat Description,Keyword Extraction,Named Entities (NER),Topic Modeling Labels,Word Count
DDoS,"['malicious.net', 'spam.exe']",Anonymous,Network,USA,0.89,2,Ransomware,Increase Web Security,2,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing,24
Ransomware,['123.456.78.9'],Unknown,Email,Germany,0.52,3,DDoS,Patch Vulnerability,2,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS,45
Malware,"['192.168.1.1', 'malicious.com']",Anonymous,Network,USA,0.85,5,Malware,Monitor for Phishing,1,malware detected in email attachment,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Phishing,36
DDoS,"['malwarehash123', 'trojan.com']",APT-28,Network,North Korea,0.82,5,DDoS,Quarantine,4,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",DDoS,22
Phishing,"['10.0.0.2', 'infected.exe']",APT-28,Email,Germany,0.62,2,Phishing,Monitor for Phishing,5,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing,23
Ransomware,"['10.0.0.2', 'infected.exe']",Unknown,Email,USA,0.84,5,DDoS,Patch Vulnerability,1,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing,46
Phishing,"['malicious.net', 'spam.exe']",APT-28,Web,Russia,0.97,2,Phishing,Monitor for Phishing,2,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing,39
Phishing,['123.456.78.9'],Lazarus Group,Network,Germany,0.52,5,Ransomware,Quarantine,2,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware,48
DDoS,"['10.0.0.2', 'infected.exe']",Unknown,Email,Germany,0.66,1,DDoS,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Malware,22
Ransomware,"['192.168.1.1', 'malicious.com']",APT-28,Web,North Korea,0.72,2,Ransomware,Quarantine,4,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing,25
Malware,"['malicious.net', 'spam.exe']",Unknown,Web,Global,0.95,2,Ransomware,Monitor for Phishing,5,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing,16
Malware,"['malwarehash123', 'trojan.com']",Anonymous,Network,Global,0.98,4,DDoS,Increase Web Security,3,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing,36
DDoS,"['malicious.net', 'spam.exe']",APT-28,Network,North Korea,0.72,5,Phishing,Increase Web Security,1,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Ransomware,44
DDoS,"['malwarehash123', 'trojan.com']",Lazarus Group,Web,North Korea,0.88,5,Ransomware,Increase Web Security,5,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing,24
Ransomware,"['malicious.net', 'spam.exe']",APT-28,Email,North Korea,0.77,2,Ransomware,Increase Web Security,5,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Malware,37
Malware,"['malicious.net', 'spam.exe']",Unknown,Web,Global,0.77,1,DDoS,Quarantine,2,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Malware,44
Malware,"['malicious.net', 'spam.exe']",Unknown,Network,North Korea,0.64,1,DDoS,Increase Web Security,3,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Ransomware,16
Malware,"['malwarehash123', 'trojan.com']",APT-28,Email,USA,0.61,1,DDoS,Quarantine,1,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Ransomware,29
Phishing,"['malwarehash123', 'trojan.com']",Lazarus Group,Email,Germany,0.64,5,DDoS,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",DDoS,41
Malware,"['malicious.net', 'spam.exe']",Lazarus Group,Web,Germany,0.78,4,DDoS,Increase Web Security,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing,47
Phishing,"['10.0.0.2', 'infected.exe']",Lazarus Group,Network,Russia,0.51,2,Malware,Quarantine,4,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing,49
Ransomware,['123.456.78.9'],Unknown,Web,Russia,0.95,3,DDoS,Increase Web Security,5,malware detected in email attachment,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing,41
Phishing,['123.456.78.9'],APT-28,Web,Germany,0.58,4,Phishing,Increase Web Security,1,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware,35
Ransomware,['123.456.78.9'],Anonymous,Web,USA,0.61,3,Ransomware,Increase Web Security,1,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing,48
Malware,"['malwarehash123', 'trojan.com']",Unknown,Email,Global,0.76,4,Phishing,Quarantine,1,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",DDoS,29
Malware,"['malwarehash123', 'trojan.com']",Lazarus Group,Email,Global,0.86,1,Phishing,Monitor for Phishing,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS,27
Ransomware,"['10.0.0.2', 'infected.exe']",APT-28,Network,USA,0.55,5,Malware,Increase Web Security,4,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing,24
DDoS,['123.456.78.9'],Lazarus Group,Network,Global,0.66,3,DDoS,Increase Web Security,3,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Ransomware,31
Ransomware,['123.456.78.9'],Anonymous,Web,North Korea,0.98,4,Ransomware,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS,31
DDoS,"['malicious.net', 'spam.exe']",Lazarus Group,Web,Germany,0.63,5,Phishing,Monitor for Phishing,3,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware,30
Phishing,"['malwarehash123', 'trojan.com']",Lazarus Group,Web,Germany,0.66,3,DDoS,Quarantine,4,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Malware,11
Phishing,['123.456.78.9'],Anonymous,Network,USA,0.92,2,DDoS,Patch Vulnerability,5,malware detected in email attachment,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",DDoS,49
Phishing,"['10.0.0.2', 'infected.exe']",APT-28,Email,Global,0.53,4,Malware,Increase Web Security,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Ransomware,27
Malware,"['10.0.0.2', 'infected.exe']",Unknown,Email,Russia,0.73,2,Malware,Patch Vulnerability,3,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing,32
Phishing,['123.456.78.9'],APT-28,Web,Russia,0.69,1,Malware,Patch Vulnerability,2,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Malware,22
DDoS,"['malwarehash123', 'trojan.com']",Anonymous,Web,Global,0.66,2,Ransomware,Increase Web Security,3,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing,18
Phishing,"['10.0.0.2', 'infected.exe']",Lazarus Group,Web,Russia,0.64,2,Phishing,Monitor for Phishing,5,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Phishing,16
Ransomware,"['malicious.net', 'spam.exe']",APT-28,Web,USA,0.55,4,Malware,Monitor for Phishing,1,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing,10
Ransomware,"['10.0.0.2', 'infected.exe']",Unknown,Network,USA,0.66,1,Malware,Patch Vulnerability,3,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware,11
Malware,"['192.168.1.1', 'malicious.com']",Anonymous,Email,Global,0.52,2,Malware,Increase Web Security,5,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Malware,13
Ransomware,"['192.168.1.1', 'malicious.com']",APT-28,Web,Russia,0.89,5,Phishing,Quarantine,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Malware,23
DDoS,"['malwarehash123', 'trojan.com']",Unknown,Network,USA,0.7,3,Phishing,Patch Vulnerability,4,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Malware,41
Phishing,['123.456.78.9'],Anonymous,Web,USA,0.72,2,Malware,Quarantine,2,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing,45
Malware,"['malwarehash123', 'trojan.com']",Unknown,Web,North Korea,0.95,1,Malware,Patch Vulnerability,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Ransomware,11
Phishing,"['malwarehash123', 'trojan.com']",Anonymous,Email,North Korea,0.83,2,DDoS,Patch Vulnerability,2,malware detected in email attachment,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Malware,49
Phishing,"['malwarehash123', 'trojan.com']",Lazarus Group,Web,USA,0.5,3,Malware,Increase Web Security,2,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Ransomware,23
DDoS,"['malwarehash123', 'trojan.com']",APT-28,Email,Global,0.97,1,Ransomware,Increase Web Security,2,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Malware,29
Ransomware,"['malicious.net', 'spam.exe']",Unknown,Email,Germany,0.62,4,Ransomware,Quarantine,2,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",DDoS,34
Ransomware,"['malicious.net', 'spam.exe']",Anonymous,Email,Germany,0.55,1,Malware,Quarantine,1,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",DDoS,17
Phishing,"['10.0.0.2', 'infected.exe']",Unknown,Network,USA,0.88,4,Phishing,Monitor for Phishing,5,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",DDoS,37
Malware,"['192.168.1.1', 'malicious.com']",Unknown,Network,USA,0.75,1,DDoS,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Malware,30
Ransomware,"['malwarehash123', 'trojan.com']",APT-28,Email,USA,0.72,3,Phishing,Patch Vulnerability,4,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware,32
Malware,"['10.0.0.2', 'infected.exe']",Lazarus Group,Web,Global,0.62,3,Malware,Patch Vulnerability,3,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing,41
Ransomware,"['192.168.1.1', 'malicious.com']",Unknown,Email,North Korea,0.77,1,Ransomware,Monitor for Phishing,3,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing,17
Malware,['123.456.78.9'],Anonymous,Web,USA,0.64,2,DDoS,Increase Web Security,4,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing,40
DDoS,"['malicious.net', 'spam.exe']",Anonymous,Email,USA,0.95,3,Phishing,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Malware,46
Malware,"['192.168.1.1', 'malicious.com']",Lazarus Group,Web,Russia,0.61,4,Phishing,Monitor for Phishing,4,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",DDoS,25
DDoS,['123.456.78.9'],Anonymous,Network,Global,0.94,4,Malware,Monitor for Phishing,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",DDoS,49
DDoS,"['192.168.1.1', 'malicious.com']",Lazarus Group,Web,USA,0.78,5,DDoS,Patch Vulnerability,3,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Ransomware,36
Malware,"['malicious.net', 'spam.exe']",Anonymous,Email,Russia,0.91,4,Ransomware,Patch Vulnerability,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Malware,49
DDoS,"['malicious.net', 'spam.exe']",APT-28,Network,Germany,0.86,5,Malware,Quarantine,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing,27
Phishing,"['10.0.0.2', 'infected.exe']",Unknown,Web,USA,0.85,1,DDoS,Increase Web Security,4,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Malware,44
DDoS,"['malwarehash123', 'trojan.com']",APT-28,Web,USA,0.66,1,Phishing,Quarantine,5,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware,24
Ransomware,"['192.168.1.1', 'malicious.com']",Unknown,Web,Russia,0.62,1,Malware,Monitor for Phishing,3,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",DDoS,36
Malware,"['192.168.1.1', 'malicious.com']",Unknown,Web,Global,0.61,2,Phishing,Patch Vulnerability,4,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing,26
Phishing,['123.456.78.9'],Unknown,Web,USA,0.93,2,Phishing,Quarantine,3,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing,49
Malware,"['malicious.net', 'spam.exe']",APT-28,Network,Germany,0.91,5,Malware,Monitor for Phishing,5,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",DDoS,11
Ransomware,"['192.168.1.1', 'malicious.com']",Unknown,Network,USA,0.72,4,Malware,Increase Web Security,3,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing,40
Ransomware,"['malicious.net', 'spam.exe']",APT-28,Network,Germany,0.57,4,Malware,Patch Vulnerability,4,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware,46
Ransomware,"['192.168.1.1', 'malicious.com']",Lazarus Group,Network,North Korea,0.69,1,Malware,Quarantine,4,malware detected in email attachment,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",DDoS,43
DDoS,"['10.0.0.2', 'infected.exe']",Anonymous,Email,North Korea,0.81,3,Malware,Increase Web Security,3,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware,43
DDoS,"['malwarehash123', 'trojan.com']",Anonymous,Network,Germany,0.73,2,Phishing,Quarantine,4,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",DDoS,12
Malware,"['192.168.1.1', 'malicious.com']",Unknown,Web,Global,0.89,2,Ransomware,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Malware,26
Malware,"['malicious.net', 'spam.exe']",APT-28,Web,USA,1.0,1,Ransomware,Increase Web Security,3,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing,23
Phishing,"['10.0.0.2', 'infected.exe']",Anonymous,Network,USA,0.6,2,Malware,Quarantine,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware,23
Phishing,"['192.168.1.1', 'malicious.com']",APT-28,Web,North Korea,0.73,1,Phishing,Increase Web Security,4,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",DDoS,47
Malware,['123.456.78.9'],APT-28,Network,Germany,0.72,5,Ransomware,Monitor for Phishing,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Ransomware,44
DDoS,"['malwarehash123', 'trojan.com']",Unknown,Web,USA,0.65,4,Ransomware,Increase Web Security,4,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",DDoS,10
Ransomware,"['192.168.1.1', 'malicious.com']",Anonymous,Email,USA,0.6,3,Ransomware,Quarantine,4,malware detected in email attachment,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",DDoS,38
Malware,"['10.0.0.2', 'infected.exe']",Unknown,Email,Global,0.53,4,Phishing,Monitor for Phishing,3,phishing email with malicious link,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Phishing,13
Phishing,['123.456.78.9'],Unknown,Network,Russia,0.94,4,Malware,Patch Vulnerability,5,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Phishing,42
DDoS,"['10.0.0.2', 'infected.exe']",Anonymous,Network,North Korea,0.71,5,Malware,Quarantine,5,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing,26
Malware,"['10.0.0.2', 'infected.exe']",Anonymous,Network,North Korea,0.75,2,Malware,Quarantine,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Ransomware,37
Malware,['123.456.78.9'],Lazarus Group,Web,Russia,0.96,3,DDoS,Monitor for Phishing,4,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Malware,35
DDoS,"['10.0.0.2', 'infected.exe']",Lazarus Group,Network,USA,0.89,2,DDoS,Monitor for Phishing,4,malware detected in email attachment,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS,17
Malware,['123.456.78.9'],APT-28,Email,Global,0.57,4,DDoS,Patch Vulnerability,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing,43
DDoS,"['192.168.1.1', 'malicious.com']",Anonymous,Web,Global,0.78,1,Phishing,Quarantine,5,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing,27
Ransomware,['123.456.78.9'],Lazarus Group,Network,North Korea,0.72,4,Ransomware,Monitor for Phishing,2,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Ransomware,40
DDoS,['123.456.78.9'],APT-28,Web,Global,0.9,2,Ransomware,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Ransomware,36
DDoS,"['malwarehash123', 'trojan.com']",APT-28,Web,Russia,0.86,4,Phishing,Patch Vulnerability,5,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Ransomware,25
DDoS,['123.456.78.9'],APT-28,Network,USA,0.85,1,Phishing,Monitor for Phishing,4,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing,19
Malware,['123.456.78.9'],Lazarus Group,Web,Russia,0.67,5,Malware,Quarantine,2,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing,49
Malware,"['192.168.1.1', 'malicious.com']",Anonymous,Email,Germany,0.9,2,Malware,Increase Web Security,3,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Phishing,21
DDoS,"['malwarehash123', 'trojan.com']",Unknown,Email,North Korea,0.53,4,DDoS,Increase Web Security,3,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing,31
Malware,"['malicious.net', 'spam.exe']",APT-28,Web,Global,0.58,2,DDoS,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing,25
Phishing,"['192.168.1.1', 'malicious.com']",Lazarus Group,Network,Germany,0.67,5,Phishing,Increase Web Security,5,malware detected in email attachment,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Phishing,21
Phishing,"['192.168.1.1', 'malicious.com']",Lazarus Group,Web,Global,0.54,4,DDoS,Increase Web Security,5,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing,20
Malware,"['malicious.net', 'spam.exe']",Unknown,Email,USA,0.62,4,Ransomware,Monitor for Phishing,2,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing,29
Malware,['123.456.78.9'],Unknown,Web,USA,0.92,2,Phishing,Patch Vulnerability,4,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing,10
DDoS,"['10.0.0.2', 'infected.exe']",Lazarus Group,Web,USA,0.97,2,Phishing,Quarantine,5,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",DDoS,36
Ransomware,"['malwarehash123', 'trojan.com']",Anonymous,Email,Global,0.65,1,Ransomware,Patch Vulnerability,2,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing,12
Malware,"['10.0.0.2', 'infected.exe']",Unknown,Web,Germany,0.63,5,Malware,Monitor for Phishing,2,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",DDoS,21
Phishing,"['malicious.net', 'spam.exe']",Lazarus Group,Web,USA,0.64,1,Malware,Increase Web Security,5,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware,39
DDoS,"['192.168.1.1', 'malicious.com']",Unknown,Network,Germany,0.64,4,Ransomware,Quarantine,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Ransomware,18
Malware,"['192.168.1.1', 'malicious.com']",Anonymous,Network,Global,0.52,2,Ransomware,Patch Vulnerability,1,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing,46
Phishing,"['malwarehash123', 'trojan.com']",APT-28,Email,Germany,0.96,4,DDoS,Increase Web Security,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS,10
Phishing,"['192.168.1.1', 'malicious.com']",Unknown,Email,Global,0.61,4,Phishing,Patch Vulnerability,5,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",DDoS,13
Ransomware,"['192.168.1.1', 'malicious.com']",Anonymous,Email,Global,0.71,3,DDoS,Quarantine,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",DDoS,24
DDoS,"['malwarehash123', 'trojan.com']",Lazarus Group,Network,North Korea,0.5,3,Ransomware,Patch Vulnerability,1,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Ransomware,36
DDoS,"['malwarehash123', 'trojan.com']",Unknown,Email,Global,0.93,4,DDoS,Patch Vulnerability,1,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing,17
Ransomware,"['malicious.net', 'spam.exe']",Unknown,Email,Global,0.87,2,Ransomware,Patch Vulnerability,5,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Malware,32
Ransomware,"['192.168.1.1', 'malicious.com']",Lazarus Group,Email,Russia,0.97,4,DDoS,Increase Web Security,3,phishing email with malicious link,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",DDoS,24
DDoS,"['192.168.1.1', 'malicious.com']",APT-28,Network,USA,0.89,3,DDoS,Quarantine,2,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",DDoS,36
DDoS,"['malicious.net', 'spam.exe']",Lazarus Group,Web,North Korea,0.66,2,Malware,Quarantine,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Malware,40
Malware,['123.456.78.9'],Unknown,Email,North Korea,0.62,4,Ransomware,Increase Web Security,3,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing,48
Malware,['123.456.78.9'],Lazarus Group,Web,North Korea,0.85,5,DDoS,Increase Web Security,4,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS,17
Ransomware,['123.456.78.9'],Anonymous,Email,Russia,0.68,5,Phishing,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing,39
Malware,"['malicious.net', 'spam.exe']",Lazarus Group,Web,Global,0.78,4,DDoS,Monitor for Phishing,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS,27
Phishing,"['192.168.1.1', 'malicious.com']",Unknown,Network,USA,0.5,2,DDoS,Patch Vulnerability,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing,13
Malware,"['malicious.net', 'spam.exe']",Lazarus Group,Network,Germany,0.53,4,Phishing,Patch Vulnerability,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",DDoS,31
Malware,"['malicious.net', 'spam.exe']",APT-28,Email,Global,0.77,4,Ransomware,Quarantine,3,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing,12
Phishing,['123.456.78.9'],Lazarus Group,Web,Russia,0.78,3,Malware,Patch Vulnerability,5,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing,24
Ransomware,"['10.0.0.2', 'infected.exe']",APT-28,Network,Global,0.88,5,Malware,Monitor for Phishing,1,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",DDoS,44
Phishing,"['192.168.1.1', 'malicious.com']",Anonymous,Email,Global,0.57,3,Malware,Increase Web Security,3,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Ransomware,47
Malware,['123.456.78.9'],APT-28,Email,Russia,0.76,3,Phishing,Quarantine,1,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware,42
Ransomware,"['10.0.0.2', 'infected.exe']",Lazarus Group,Network,North Korea,0.6,4,DDoS,Quarantine,3,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Malware,23
Malware,"['10.0.0.2', 'infected.exe']",Unknown,Network,North Korea,0.55,3,Ransomware,Patch Vulnerability,1,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Ransomware,10
Phishing,"['malwarehash123', 'trojan.com']",APT-28,Email,USA,0.71,5,DDoS,Quarantine,3,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing,35
Phishing,"['192.168.1.1', 'malicious.com']",Anonymous,Web,USA,0.58,3,Malware,Increase Web Security,4,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Ransomware,17
